ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval,novice
-0Gj8-vB1q4,30,40,"/m/0140xf,/m/02cjck,/m/04rlf","['low quality', 'sustained strings melody', 'soft female vocal', 'mellow piano melody', 'sad', 'soulful', 'ballad']","The low quality recording features a ballad song that contains sustained strings, mellow piano melody and soft female vocal singing over it. It sounds sad and soulful, like something you would hear at Sunday services.",4,False,True,"A piano ballad performed in a minor key, featuring a soulful female vocalist delivering emotive lyrics. The arrangement includes sustained strings, a mellow piano melody, and a delicate vocal performance. The overall mood is somber and introspective, evoking a sense of reverence suitable for a sacred setting like a church."
-0SdAVK79lg,30,40,"/m/0155w,/m/01lyv,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l","['guitar song', 'piano backing', 'simple percussion', 'relaxing melody', 'slow tempo', 'bass', 'country feel', 'instrumental', 'no voice']",This song features an electric guitar as the main instrument. The guitar plays a descending run in the beginning then plays an arpeggiated chord followed by a double stop hammer on to a higher note and a descending slide followed by a descending chord run. The percussion plays a simple beat using rim shots. The percussion plays in common time. The bass plays only one note on the first count of each bar. The piano plays backing chords. There are no voices in this song. The mood of this song is relaxing. This song can be played in a coffee shop.,0,False,False,"This is a lo-fi indie track featuring an electric guitar playing a laid-back melody loop, accompanied by a minimalist drum beat and soft piano chords. The overall ambiance is mellow and perfect for creating a relaxed atmosphere in a coffee shop setting."
-0vPFx-wRRI,30,40,"/m/025_jnm,/m/04rlf","['amateur recording', 'finger snipping', 'male mid range voice singing', 'reverb']","a male voice is singing a melody with changing tempos while snipping his fingers rhythmically. The recording sounds like it has been recorded in an empty room. This song may be playing, practicing snipping and singing along.",6,False,True,"This vocal recording showcases a male vocalist performing a rhythmic and melodic piece with finger snapping accompaniment. The acoustics of the room are apparent in the recording, adding a raw and intimate quality to the performance. The piece is suitable for vocalists looking to practice vocal techniques in a stripped-down setting."
-0xzrMun0Rs,30,40,"/m/01g90h,/m/04rlf","['backing track', 'jazzy', 'digital drums', 'piano', 'e-bass', 'trumpet', 'acoustic guitar', 'digital keyboard song', 'medium tempo']",This song contains digital drums playing a simple groove along with two guitars. One strumming chords along with the snare the other one playing a melody on top. An e-bass is playing the footnote while a piano is playing a major and minor chord progression. A trumpet is playing a loud melody alongside the guitar. All the instruments sound flat and are being played by a keyboard. There are little bongo hits in the background panned to the left side of the speakers. Apart from the music you can hear eating sounds and a stomach rumbling. This song may be playing for an advertisement.,6,False,True,"An upbeat pop music piece featuring a blend of electric and acoustic guitars, groovy bassline, rhythmic piano chords, and melodic trumpet fills. The percussion includes bongo hits adding a tropical flair to the song. This composition is ideal for a commercial or advertisement targeting a youthful audience."
-1LrH01Ei1w,30,40,"/m/02p0sh1,/m/04rlf","['rubab instrument', 'repetitive melody on different octaves', 'no other instruments', 'plucked string instrument', 'no voice', 'instrumental', 'fast tempo']",This song features a rubber instrument being played. The strumming is fast. The melody is played on one fretted string and other open strings. The melody is played on the lower octave and is later repeated on the higher octave. This song can be played at a folk party.,0,False,False,"A lively folk song performed on a ukulele with upbeat strumming patterns, ideal for a festive gathering."
-1OlgJWehn8,30,40,"/m/04rlf,/m/06bz3","['instrumental', 'white noise', 'female vocalisation', 'three unrelated tracks', 'electric guitar harmony', 'bass guitar', 'keyboard harmony', 'female lead vocalisation', 'keyboard harmony', 'slick drumming', 'boomy bass drops', 'male voice backup vocalisation']","This clip is three tracks playing consecutively. The first one is an electric guitar lead harmony with a groovy bass line, followed by white noise and then a female vocalisation to a vivacious melody with a keyboard harmony, slick drumming, funky bass lines and male backup. The three songs are unrelated and unsynced.",7,False,True,"This music piece features a vivacious female lead vocalist harmonizing with male backup singers. The arrangement includes an electric guitar lead with a groovy bass line, accompanied by keyboard harmonies, slick drumming, and funky basslines."
-1UWSisR2zo,30,40,"/m/04rlf,/m/0xzly","['live performance', 'poor audio quality', 'ambient noises', 'school dance program', 'crowd noise', 'high gain volume', 'hissing tones', 'medium tempo', 'techno dance song', 'male singer', 'groovy bass line', 'techno dance rhythm', 'keyboard accompaniment', 'kids dancing', 'noisy crowds', 'home video', 'school program', 'noise']","A male singer sings this groovy melody. The song is a techno dance song with a groovy bass line, strong drumming rhythm and a keyboard accompaniment. The song is so groovy and serves as a dance track for the dancing children. The audio quality is very poor with high gains and hissing noise.",1,False,True,"This is a techno dance track with a male vocalist. The bassline is groovy and the beat is strong, making it ideal for dancing."
-3Kv4fdm7Uk,30,40,"/m/04rlf,/m/04szw,/m/0l156b","['steeldrum', 'higher register', 'amateur recording']",someone is playing a high pitched melody on a steel drum. The file is of poor audio-quality.,6,False,True,A child is playing a simple tune on a small toy xylophone with poor audio quality.
-4NLarMj4xU,30,40,"/m/04rlf,/t/dd00034","['pop', 'tinny wide hi hats', 'mellow piano melody', 'high pitched female vocal melody', 'sustained pulsating synth lead', 'soft female vocal', 'punchy kick', 'sustained synth bass', 'claps', 'emotional', 'sad', 'passionate']","The Pop song features a soft female vocal singing over sustained pulsating synth lead, mellow piano melody, sustained synth brass, punchy kick, claps. tinny wide hi hats and high pitched female vocal melody. It sounds emotional, sad, passionate and like something you would hear on a radio.",4,False,False,"This is a contemporary Pop music piece characterized by a melancholic atmosphere. The lead vocals are performed by a female singer, delivering an emotional and soulful rendition. The melody is poignant and captivating, accompanied by a dynamic and punchy beat that drives the song forward. This piece embodies the essence of mainstream radio hits with its emotive delivery and engaging sound."
-4SYC2YgzL8,30,40,"/m/04rlf,/m/04wptg,/m/0ggq0m","['solo live direct input acoustic guitar strumming', 'airy suspended open chords', 'low fidelity', 'ambient sounds', 'paper shuffling']","low fidelity audio from a live performance featuring a solo direct input acoustic guitar strumming airy, suspended open chords. Also present are occasional ambient sounds, perhaps papers being shuffled.",8,False,True,A soft fingerpicking acoustic guitar piece performed live with subtle field recordings of nature sounds in the background.
-5FoeegAgvU,230,240,"/m/04rlf,/m/07rrh0c","['brass', 'double bass', 'strings', 'instrumental', 'no voice', 'percussion']",The instrumental music features an ensemble that resembles the orchestra. The melody is being played by a brass section while strings provide harmonic accompaniment. At the end of the music excerpt one can hear a double bass playing a long note and then a percussive noise.,2,False,True,"This orchestral music composition features a full ensemble of brass and string instruments. The piece crescendos towards the end with a deep bass note and a striking percussion sound, creating a grand and powerful conclusion."
-5f6hjZf9Yw,30,40,"/m/02w4v,/m/04rlf","['folk music', 'rubab', 'male voice', 'slow tempo', 'emotional song', 'low quality audio', 'violin', 'accordion']",This folk song features a male voice singing the main melody in an emotional mood. This is accompanied by an accordion playing fills in the background. A violin plays a droning melody. There is no percussion in this song. This song can be played at a Central Asian classical concert.,0,False,False,"A Central Asian folk song with a male vocalist delivering an emotional performance. The melody is carried by an accordion and violin, creating an authentic and traditional feel. This piece would be well-suited for a concert showcasing Central Asian music traditions."
-5xOcMJpTUk,70,80,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y","['guitarist', 'male talking', 'twang sounds', 'mediocre audio quality', 'guitar string tones', 'guitar technique', 'fretboard sounds', 'guitar demo', 'online guitar lessons', 'home music video', 'youtube tutorial', 'bas]d audio quality', 'humming noise', 'energetic', 'passionate', 'spirited okay', 'strong voice', 'ambient room noises']","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.",1,False,False,This video showcases a guitar tutorial where a male instructor demonstrates various advanced techniques with decent audio quality.
-6HBGg1cAI0,30,40,"/m/02p0sh1,/m/04rlf,/m/06j64v","['folk song', 'traditional song', 'middle eastern song', 'male voice', 'darbuka', 'oud instrument', 'moderate tempo', 'middle eastern instruments']",This middle eastern folk song features a male voice. This is accompanied by a string instrument called the oud playing the melody in between lines. A variety of middle-eastern percussion instruments are played in the background. A tambourine is played on every count. A darbuka plays a simple beat. This folk song can be played in a movie scene set in a Moroccan market.,0,False,True,"A traditional Middle Eastern folk composition, utilizing the oud, tambourine, and darbuka instruments, evoking the ambiance of a bustling Moroccan marketplace."
-6QGvxvaTkI,280,290,"/m/01p970,/m/026t6,/m/0l14md","['low quality', 'echoing male vocal', 'acoustic strings melody', 'crowd chattering', 'wooden percussions', 'plucked strings melody', 'live performance', 'traditional', 'noisy', 'passionate']","The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.",4,False,False,"This traditional folk song is performed live, featuring a male vocalist singing in traditional style. The accompaniment includes acoustic string instruments such as a guitar and violin, as well as wooden percussion instruments like a tambourine. The performance captures the ambiance of a lively crowd, adding to the authentic and immersive experience of the music."
-6pcgdLfb_A,110,120,"/m/04rlf,/t/dd00035","['r&b', 'soul', 'male vocal', 'melodic singing', 'strings sample', 'strong bass', 'electronic drums', 'sensual', 'groovy', 'urban']",This is an R&B/soul music piece. There is a male vocalist singing melodically and in a sensual manner over multiple tracks. The melody of the beat is provided by a string sample. There is a strong bass sound in the piece. The rhythm is provided by a groovy electronic drum beat. There is an urban feel to this piece. It could be used in the soundtrack of a TV series where two characters are sharing intimate moments.,9,False,False,"Genre: R&B/soul  
Vocalist: Male  
Instruments: String sample, strong bass line, groovy electronic drum beat  
Setting: Suitable for an intimate atmosphere"
-7B9tPuIP-w,450,460,"/m/0155w,/m/04rlf,/m/07sr1lc","['male vocalist', 'medium fast tempo', 'monologue', 'background music', 'hit songs', 'retro', 'narrator', 'narration', 'documentary', 'animated singing', 'enthusiastic drumming', 'cymbal ride', 'electric guitar', 'groovy bass lines', 'rock and rock', 'classic rock and rock', 'muffled', 'blues', 'rock hits', 'vocalisation']","A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly  in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.",7,False,True,"This is a rock and roll music piece characterized by a fast-paced drumming rhythm and energetic electric guitar playing. The vocals are delivered with enthusiasm, adding to the dynamic feel of the song. The overall sound is balanced and not too overpowering, making it suitable for playing underneath a storytelling segment in a documentary."
-7wUQP6G5EQ,30,40,"/m/02cjck,/m/02w4v,/m/04rlf","['low quality', 'noisy', 'renaissance music', 'soft wooden percussions', 'mellow harmonized flute melody', 'mellow', 'soulful', 'passionate', 'emotional', 'vintage']","The low quality recording features a renaissance music that consists of soft wooden percussion and mellow, harmonized flute melody playing on top of it. The recording is a bit noisy, but it also sounds soulful, mellow, passionate, emotional and vintage - It really puts the listener in a period of renaissance.",4,False,False,"A soulful Renaissance music piece featuring wooden percussion and a flute melody, evoking a nostalgic and emotional atmosphere."
-88me9bBzrk,30,40,"/m/015vgc,/m/04rlf","['hindi', 'tablas', 'shrutibox', 'bansuri flute', 'medium tempo']",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.,6,False,True,"This is a lively instrumental piece showcasing a flute as the main melodic instrument, accompanied by a rhythmic drum beat and harmonium playing the harmonies. The composition exudes a vibrant atmosphere, reminiscent of a captivating live performance."
-8C-gydUbR8,30,40,"/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00005","['gospel music', 'poor sound quality', 'children choir', 'medium tempo', 'black gospel music', 'distorted sound quality', 'meditative', 'devotional', 'inspiring', 'motivational', 'christian contemporary music', 'steady drumming rhythm', 'groovy bass line', 'keyboard harmony', 'retro christian songs']","A children’s choir sings this devotional melody. The song is medium tempo with a steady bass line, drumming rhythm and clapping percussion. The song is black gospel choral music played in front of a live congregation. The audio quality is very poor.",1,False,True,"An ensemble of children vocalists sings this gospel choir piece. The arrangement includes a steady bass line, rhythmic drumming, and clapping percussion. The performance captures the essence of traditional black gospel choral music in a live congregation setting, characterized by its devotional and spiritual tone."
-8cgbhIR_pw,30,40,"/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y,/t/dd00034","['low quality', 'passionate muddy male vocal', 'arpeggiated acoustic guitar melody', 'noisy', 'muddy', 'cover', 'emotional', 'ballad', 'raw', 'messy']","The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",4,False,True,"An acoustic folk song performed with raw emotion, featuring intricate fingerpicking on the guitar and heartfelt male vocals. The recording quality is low, adding a raw and authentic feel to the performance. The song evokes a sense of melancholy and introspection."
-BHPu-dPmWQ,30,40,"/m/04rlf,/t/dd00032","['intimate wide mixed vocals', 'synth lead melody', 'punchy kick', 'noisy snare', 'claps', 'groovy bass guitar', 'tinny wide hi hats', 'short snare roll', 'alternative/indie', 'electric guitar melody', 'easygoing', 'melancholic']","The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guitar melody, synth lead melody and groovy bass guitar. At the end of the loop there is a short snare roll and some claps. It sounds easygoing and melancholic thanks to those vocals.",4,False,True,"This indie music piece features a blend of male and female vocals singing in harmony. The male and female vocals create a unique texture. The main melody is played on an acoustic guitar. The bass guitar plays a groovy bassline. The tempo is medium with steady drumming. The overall mood of the song is melancholic, evoking a sense of nostalgia and reflection."
-BIMKnb3tlo,410,420,"/m/01p970,/m/026t6,/m/0l14md","['hindustani classical music', 'harmonium', 'bansuri', 'tabla', 'electronic drums', 'upbeat', 'joyful']","This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful.",9,False,False,"A joyful Indian classical music piece featuring the harmonium playing the melody, accompanied by a flute, tabla, and electronic drums."
-Bu7YaslRW0,30,40,"/m/025td0t,/m/02cjck,/m/04rlf","['atmospheric', 'cinematic', 'calming', 'flute/string/brass sound', 'cymbals', 'synth pad drone', 'slow tempo']",A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.,6,False,True,"A piece featuring a serene woodland atmosphere, incorporating the delicate tones of a flute with subtle cymbal accents. The composition is characterized by a generous use of echo effects, creating a sense of depth and tranquility within the music."
